Year,Course Code,Name,Grade
2,BCH210,Biochemistry I,IP
2,BIO230,From Genes to Organisms,IP
2,MAT223,Linear Algebra I,IP
2,PSY270,Intro to Cognitive Psychology,IP
2,STA299,Research Opportunity Program,IP
